review_id,review,sentiment,language,review_length,source
R0001,"Reeves juega a Haji Murad, un héroe en la Rusia de 1850.Esta es una película mal doblada, con junio, haciendo algunas de las voces. Desafortunadamente, quien se suponía que se suponía que la sincronización de las voces a los labios era ciega, ya que las palabras nunca coinciden con las aletas de los labios. Cualquiera que diga que las películas japonesas son malas nunca han visto esta película. La parcela de la película es instantánea olvidable y, por lo tanto, lo he olvidado en el momento en que se le tomó la película para que termine y para mí, para que me siente y lo escriba. Tal vez tenga más que ver con el hecho de que la película es una de las muchas de las muchas que Reeves se convierte con la esperanza de alejarse de la acción a más películas impulsadas por la parcela. Puede haber sido algo bueno para Reeves, pero es mortal para la audiencia que tiene que somar a través de festives de nómez, como su intriga de la corte con muy poca acción. En la defensa de Reeves, fue un buen actor, él solo tenía No hay verdadera suerte en el picking Films que fueron buenos. Todos se veían geniales, pero muy pocos de ellos no pusieron a los que los observaban en un coma para el tiempo de ejecución de la película. Esta película te pondrá en coma. Míralo solo si tiene la necesidad de dormir y todos los demás medios más suaves han fallado.",negative,es,252,IMDB
R0002,"Crackerjack is a simple but feelgood movie where the good guys are very good and the bad guys are very bad and the central character is tempted by both sides.The combination of the central character being played by Mick Malloy and the central setting being the local lawn bowls clubs drew an unusually broad crowd ranging from large numbers of teenagers to large numbers of senior citizens - and all laughed at the comedy.As would be expected of a movie with Mick Malloy and Judith Lucy there was quite a bit of swearing, but it was not overdone and the audience I sat with certainly enjoyed it!Mick Malloy did a good job as the lazy bloke who joined the bowls club (three times) simply to get parking spaces (one for himself and two for leasing to others at a premium) but who has everything fall down on him when he is required to play or lose his membership.Judith Lucy does a fine job as his local journalist/love-interest and there are fabulous performances from Bill Hunter, Frank Wilson, Monica Maughan, Lois Ramsey and many others.John Clarke's dour role as the bad guy is not one of his funniest but he gives a solid performance.The not so subtle swipes at pokies provide a bit of a serious note to this otherwise light comedy.I'm sure that those who enjoyed The Castle and The Dish would also enjoy this movie.",positive,en,236,IMDB
R0003,"Si alguna vez estuviera triste por no poder conseguir una película en DVD, probablemente fue ""delirante"" que buscabas.¿Con qué frecuencia te ríes al ver las rutinas de comedia de pie?Era demasiado joven para ver a Richard Pryor durante su mayor momento, y cuando tenía la edad suficiente para ver ""delirious"" de Eddie Murphy y ""RAW"" (no tan gracioso), nunca supe dónde, Eddie tiene una gran parte de su inspiración.Ahora que soy mayor, y he visto a Pryor y muchos de los comediantes después de Murphy, me doy cuenta de dos cosas: todo el mundo roba de Eddie, mientras Eddie le tomaba amor a Richard.Esa es la gran diferencia: Eddie fue original, divertido, provocativo, pensativo, y más.Él era algo nunca antes visto.Él era todo lo que siempre necesitábamos.En estos días, Eddie Murphy es aburrido y viejo, pero de una vez que era el rey, y 'Delirious' fue el mejor castillo construido.Verdaderamente una de las rutinas más divertidas de todos los tiempos.",positive,es,160,IMDB
R0004,"An hulking alien beastie crash-lands on Earth and soon wrecks havoc upon the populace first using his laser ray gun to dissolve into dust almost every human he catches sight off (that is when his aim isn't terribly off) and later his bare claws with which he likes to rip out and eat human spleen! All in all, it's pretty silly stuff. I do have to give it some points for being somewhat fun at times. I actually enjoyed the mindless ray gun battle at the beginning and some of the later over the top gore effects. However it doesn't help when the monster provides the movie's only truly entertaining moments and he isn't on screen for a large portion of the film's running time. The acting throughout this is just plain awful and amateurish and our lead hero Sheriff Cinder is much too unattractive to be bagging the film's hottest chick. I also have to take off points for blatantly copying THE THING FROM ANOTHER WORLD (1951) on several occasions. When the monster isn't on a rampage, NIGHTBEAST is far too dull and eventually his attacks become so repetitive and predictable even they become less fun. Watch this one back to back with the 1951 THING and see the difference characterization, attention to plot and detail and creating suspense makes to a monster on the loose movie.",negative,en,228,IMDB
R0005,"Mira como anglo-irlandés le aseguro que este revisor es algo más que sesgo. Pero te aseguro que esto es mucho una película irlandesa, y no el inglés, ya que el último comentario parece haber sugerido. Esta película fue escrita por Neil Jorden y Conor McPherson y también dirigida por Conor McPherson, ambos irlandeses. El elenco es casi totalmente irlandés, se disparó en Irlanda con una tripulación irlandesa. Incluso Michael Gambon nació en Irlanda, lo recuerdo bromeando al respecto en una entrevista sobre esta película. Evidentemente, se llevó a cabo la caña de Michael en el extranjero. ¡Sólo quería corregir un comentario totalmente desinformado! Ahora en Con la revisión, me encantó Dylan Moran, siempre he sido un fanático de su, él mismo y Michael Bane formó un doble acto sorprendentemente bueno. Fue genial ver a la gama de Morans como actor mientras juega varios personajes diferentes durante la película. Recomendaría esta película a cualquiera con un interés en la comedia, ya que representa un giro fresco, peculiar e inventivo en las películas de risas de largometraje irlandés. Me reí mucho. ¿Qué más podrías pedir?",positive,es,183,IMDB
R0006,"No soy un fanático de Steve Carell, sin embargo, me gusta esta película sobre Dan, un columnista de consejos, que va a la casa de sus padres para una estancia con sus hijos y termina enamorarse de la novia de su hermano.Es una historia que se le ha dicho antes, pero no así.Simplemente hay demasiados pequeños bits que hacen que la película sea mejor de lo que debería ser.El elenco es maravilloso, e incluso si Carell no es mi taza de té, es bastante bueno como el viudo que se supone que debe saber todo, pero encuentra que saber que es diferente a sentir y, a veces, la vida te sorprende.A veces, ingenioso y sabio, en la forma en que puede ser una molesta carta de Hallmark, la película sigue siendo algo de lo que logra crecer sobre usted y ser algo más que una carrera de la película del molino.Vale la pena verse ver",positive,es,155,IMDB
R0007,"this movie is quite bad, aggressive, not played well, not directed well, seems low budget, low quality,emotionaly weak and disconnected. after watching earlier comments, went to see it, but if u try to compare it with apocalypse now, PLATOON, or any others, u'r really off the tracks. this movie looks like a 60's old and purely made film with cast of grown neanderthals, not to mention (or actually do), not paying attention to details like changing rounds, low budget fireworks and all sorts of poorly filmed characteristic. is watchable though, if u'd like to see it as an early development of the movies document.. not to go back!!p.s - afterall, the guys are quite alright.",negative,en,115,IMDB
R0008,"Extraño, casi todos los revisores son muy positivos sobre esta película.¿Es porque es de 1975 y tiene Chamberlain y Curtis en ella y, por lo tanto, perdona a los tiempos muy malos o formas infantiles de la narración?Tal vez sea porque algunas personas se vuelven sentimentales sobre esta película porque han leído el libro?(No he leído el libro, pero no creo que sea un problema, los cineastas nunca presumen que los espectadores han leído el libro).¿O es porque estoy subconscientemente irritado sobre el hecho de que los actores que hablan inglés intentan comportarse como sus homólogos franceses?",negative,es,97,IMDB
R0009,"It's been said that Batman Begins in the first Batman movie to ""get it right"" but I think that's a horrible overstatement, for I think the new Batman film, although greater that Batman Forever and Batman and Robin, pales compared to Tim Burton's classics, with this one being the best of the five. The darkness is beautiful, as is the music and scenery, creating a Gotham City cloaked in mystery, unlike Batman Begins, where Gotham City is a normal-looking city. The villains are terrific in this movie. You literally can't take your eyes off of the penguin and cat woman. I applaud Tim Burton for being original with his use of the penguin as a freak, rather than an ordinary criminal or a clone of the old Batman TV show. In Batman Begins we have the scarecrow, whose not nearly as demanding on screen as the penguin or cat woman. The film doesn't need to focus only on Batman, because we already know his story, and it is the villains who we are exploring and trying to figure out, and they are the ones who create the plot, with the penguin running for mayor and seeking revenge for his parents' desertion by killing the first born sons of Gotham, a task he fails. Danny Devito gives the finest performance ever by a superhero villain in any film, surpassing even Nicholson's joker. The closing scene where the penguins drag the dead body of the penguin into the water is touching and powerful. It's a tragedy that Tim Burton wasn't allowed to complete his trilogy, since Warner Bros., interesting in marketing appeal, wanted to ""lighten"" the Batman movies up. And they got their wish...unfortunately. Tim Burton planned on directing the third film, using the Riddler as the villain, with no Two-Face and Robin to mess it up, and I'm sure Michael Keaton would've signed on. So this is the last great Batman Film. Batman Begins is dark, but boring, tedious, ordinary, filled with lackluster villains, and a playboy Bruce Wayne. A decent Batman film, but the best Batman film ever? Never. Batman Returns holds that crown.",positive,en,354,IMDB
R0010,"Betty es una subestudía para la iniciativa en una producción de Macbeth de Verdi. Cuando un automóvil golpea misteriosamente el plomo, Betty se empuja hacia el foco de atención. La noche de apertura es un éxito aplastante y Betty decide dejar al post partido para celebrar en privado con su novio. Pero cuando el novio sale de la habitación, Betty se agarra por una figura desconocida, enguantada negra, enmascarada. El asaltante desconocido ata a Betty a una columna, la gagé, y coloca a las agujas debajo de sus ojos que causarán un daño increíble y el dolor en que Betty cierre. El novio regresa a la habitación y está sorprendida por ver a Betty en tal situación. Él está aún más sorprendido cuando el asesino lo agarra y empuja un cuchillo a través de su mandíbula inferior con tal fuerza, la punta del cuchillo se puede ver claramente en su boca. Y Betty se ha visto obligado a ver todo esto. Así comienza la terroría prueba de Betty con un asesino, no solo con la intención de lastimarla, sino también de obligarla a observarla mientras murmina a sus amigos. Peera se clasifica como un Giallo, pero para mí, difiere de bastante unas caminos del modelo. Se pone menos énfasis en los elementos misteriosos de la historia que en algo como Tenebre de Argento o el ave con el plumaje de cristal. El asesino enmascarado, enguantado, enmascarado, puede ser omnipresente, pero las pistas y las fundas rojas normalmente asociadas con un buen giallo están ausentes. En su lugar, la ópera tiene que ver con la tensión de un asesino desconocido y hacer que la audiencia sea incómoda. El enfoque está en las escenas de muerte espeluznante, el miedo de Betty, y la obsesión del asesino con Betty.opera características lo que creo que son algunas de las escenas de muerte artísticas más argentales. Cuando el asesino agarra a Betty después de que su novio salga de la habitación, estás seguro de que Betty lo tenía. Pero el asesino sádico solo quiere forzar a Betty a vigilar mientras apuñala brutalmente a su amante en el cuello, el cuchillo emergiendo en su boca. Es una escena bien diseñada y diseñada. Y esas agujas en los ojos, brillantes. O, toma la muerte de la costurera. Al principio, su muerte parece un asesinato ordinario, corrido del molino. Pero cuando la costurera se traga accidentalmente el medallón del asesino, lo que comenzó como solo otra escena de la muerte lo convierte en una muesca, ya que el asesino usa un par de tijeras para cortar la garganta de la niña para obtener su cadena. Finalmente, está la escena de la muerte más famosa en la ópera que me sorprende cada vez que lo veo: Mira se filtra en el ojo mientras miraba a través de un ojo de cerradura. Esa escena muestra mucho de lo que me gusta de Argento. Tiene estilo para quemar. Como implausible, como puede ser, es creativo, memorable y una explosión para ver. Ciertamente no fue el primer director italiano que se concentre en la mutilación ocular, sino en la ópera, ha tomado un traumatismo ocular a un nuevo nivel. Agujas que sostienen los ojos abiertos, una bala en el ojo, y los cuervos picoteando un ojo son parte de la visión de Argento (Pun pretendido). Y estas escenas tienen el efecto de que creo que Argento estaba iba. La primera vez que vi al asesino poniendo esas agujas en los ojos de Betty, no pude dejar de parpadear. En realidad me tenía un efecto físico. ¿Qué es lo que se trata de los ojos que los convierten en un objetivo de abuso en las películas italianas? Para ser justos (y no sonar como tal fanboy), hay problemas que tengo con Opera que me impide calificarlo como lo mejor de Argento. Uno de mis problemas es con el sistema de conductos de aire que se ejecuta a través de Betty's Apartment Building. Si bien no dudo que hay sistemas de conductos de aire en edificios de apartamentos más antiguos que conectan los apartamentos, los conductos en la ópera son enormes. No soy un experto, pero sinceramente dudo que cualquier edificio como el que en esta película hubiera tenido tales conductos de aire de mamut. No parece práctico en absoluto. ¿Y no crees que alguien hubiera hecho algo sobre ellos hace mucho tiempo para mantener a los criminales y los vecinos entrometidos fuera de los otros apartamentos? Es conveniente para la trama, pero no es muy realista. Pero supongo que mi principal problema con la película viene con el final. ¿Qué pasa con ese final? Se siente totalmente fuera de lugar, pegado, y como una mala ocurrencia. No estoy seguro de qué más decir, aparte de que sea horrible.",positive,es,795,IMDB
